T 	12	13	14	15	16	17	
90	20+	18+	21+	21+	23+	23+	
89	19	•	20	•	•	•	
88	•	•	•	•	22	22	
87	•	17	•	20	•	•	
86	18	•	19	•	21	21	
85	•	•	•	19	•	•	
84	17	16	18	•	20	20	
83	•	•	•	18	•	•	
82	•	15	17	•	19	19	
81	16	•	•	17	•	•	
80	•	•	•	•	18	18	
79	15	14	16	•	•	•	
78	•	•	•	16	17	17	
77	•	•	15	•	•	•	
76	14	13	•	15	16	•	
75	•	•	•	•	•	16	
74	•	•	14	14	15	•	
73	13	12	•	•	•	15	
72	•	•	13	13	14	•	
71	12	11	•	•	•	14	
70	•	•	12	•	13	•	
69	•	•	•	12	•	13	
68	11	10	•	•	•	•	
67	•	•	11	11	12	12	
66	10	•	•	•	•	•	
65	•	9	10	10	11	11	
64	•	•	•	•	•	•	
63	9	8	9	9	10	•	
62	•	•	•	•	•	10	
61	8	•	•	•	9	•	
60	•	7	8	8	•	9	
59	•	•	•	•	8	•	
58	7	•	7	7	•	8	
57	•	6	•	•	7	•	
56	6	•	•	6	•	7	
55	•	5	6	•	6	•	
54	•	•	•	5	•	6	
53	5	•	5	•	5	•	
52	•	4	•	•	•	5	
51	4	•	4	4	4	•	
50	•	•	•	•	•	4	
49	•	3	•	3	3	•	
48	3	•	3	•	•	•	
47	•	2	•	2	2	3	
46	•	•	2	•	•	•	
45	2	•	•	1	•	2	
44	•	1	•	•	1	•	
43	1	•	1	•	•	1	
42	•	•	•	0	0	•	
41	•	0	0	•	•	0	
40	0	•	•	•	•	•	
