T	12	13	14	15	16	17	
90	21+	22+	22+	18+	19+	16+	
89	•	21	21	•	•	•	
88	20	•	•	17	18	•	
87	•	•	•	•	•	15	
86	•	20	20	16	•	•	
85	19	•	•	•	17	•	
84	•	19	19	•	•	14	
83	18	•	•	15	16	•	
82	•	18	18	•	•	•	
81	•	•	•	•	•	13	
80	17	•	•	14	15	•	
79	•	17	17	•	•	•	
78	16	•	•	•	•	12	
77	•	16	16	13	14	•	
76	15	•	•	•	•	•	
75	•	15	15	•	13	11	
74	•	•	•	12	•	•	
73	14	•	•	•	•	•	
72	•	14	14	•	12	10	
71	13	•	•	11	•	•	
70	•	13	13	•	11	•	
69	12	•	•	10	•	9	
68	•	12	12	•	•	•	
67	•	•	•	•	10	•	
66	11	•	•	9	•	8	
65	•	11	11	•	•	•	
64	10	•	•	•	9	•	
63	•	10	10	8	•	•	
62	•	•	•	•	8	7	
61	9	9	9	•	•	•	
60	•	•	•	7	•	•	
59	8	•	•	•	7	6	
58	•	8	8	•	•	•	
57	7	•	•	6	6	•	
56	•	7	7	•	•	5	
55	•	•	•	5	•	•	
54	6	6	6	•	5	•	
53	•	•	•	•	•	4	
52	5	•	•	4	•	•	
51	•	5	5	•	4	•	
50	•	•	•	•	•	3	
49	4	4	4	3	3	•	
48	•	•	•	•	•	•	
47	3	3	3	•	•	2	
46	•	•	•	2	2	•	
45	2	•	•	•	•	•	
44	•	2	2	•	1	1	
43	•	•	•	1	•	•	
42	1	1	1	•	•	•	
41	•	•	•	•	0	0	
40	0	0	0	0	•	•	
